Industry,count,mean,std,min,25%,50%,75%,max
Accounting,204.0,5.279411764705882,5.361362194291958,0.0,2.0,3.0,6.0,27.0
Advertising & Marketing,489.0,6.785276073619632,6.541866115256304,-6.0,3.0,4.0,10.0,32.0
Agriculture,14.0,7.142857142857143,7.734608963882778,0.0,2.25,3.0,11.25,24.0
Apparel,0.0,,,,,,,
Apparel & Fashion,67.0,5.597014925373134,5.5788010591299635,-5.0,2.0,3.0,8.0,23.0
"Arts, Entertainment & Media",390.0,7.2153846153846155,7.274971654695735,-23.0,2.0,5.0,10.0,37.0
Auto,0.0,,,,,,,
Banking,101.0,5.297029702970297,5.204891073702594,-5.0,2.0,3.0,8.0,28.0
Biotechnology,87.0,6.873563218390805,7.032821058406195,0.0,2.0,4.0,8.5,29.0
Chemicals,12.0,5.5,4.661252270288825,1.0,2.0,3.5,7.5,14.0
Communications,95.0,6.705263157894737,7.008920887303499,-6.0,2.0,4.0,10.5,30.0
Construction,107.0,6.02803738317757,6.143654409878804,0.0,2.0,4.0,7.5,28.0
Consulting,455.0,6.98021978021978,6.7492570937273575,-5.0,2.0,4.0,10.0,38.0
Consumer Goods,75.0,5.1466666666666665,6.823436031742315,0.0,2.0,3.0,5.0,40.0
Education,131.0,5.549618320610687,5.115908431937522,-8.0,2.0,4.0,7.0,20.0
Electronics,56.0,5.071428571428571,5.197401948376421,0.0,2.0,3.0,7.25,22.0
Energy,55.0,6.0,6.176418715416576,-4.0,2.0,3.0,8.0,23.0
Engineering,129.0,6.767441860465116,6.728567394776284,-3.0,2.0,4.0,10.0,26.0
Entertainment,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
Environmental,37.0,6.405405405405405,5.241180207736609,0.0,3.0,5.0,9.0,23.0
Finance,445.0,6.332584269662921,6.410291824829953,-7.0,2.0,4.0,9.0,35.0
Food & Beverage,88.0,4.75,4.264933196711737,0.0,2.0,3.0,7.0,18.0
Government,35.0,5.485714285714286,6.021390442177193,1.0,2.0,3.0,6.5,28.0
Healthcare,293.0,5.962457337883959,6.735356269552266,-5.0,2.0,3.0,7.0,39.0
Hospitality,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
Insurance,63.0,7.0476190476190474,7.940156355469885,0.0,2.0,4.0,8.0,42.0
Legal Services,130.0,6.7384615384615385,6.387431755916751,-3.0,2.25,4.0,9.0,32.0
Machinery,18.0,5.222222222222222,6.292437623197395,-4.0,3.0,4.0,5.75,27.0
Manufacturing,88.0,5.6477272727272725,6.745010540327768,0.0,2.0,3.0,6.0,36.0
Media,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Not For Profit,52.0,5.173076923076923,5.385969986905717,-4.0,2.0,3.0,6.0,25.0
Other,249.0,6.240963855421687,6.44378362876451,-4.0,2.0,4.0,8.0,36.0
Real Estate,196.0,6.209183673469388,6.298727372230102,0.0,2.0,4.0,9.0,31.0
Recreation & Travel,61.0,6.688524590163935,6.182073502222798,0.0,2.0,5.0,10.0,31.0
Retail,136.0,6.1911764705882355,6.659456885743155,-6.0,2.0,4.0,7.0,29.0
Shipping & Logistics,32.0,6.28125,6.123642048281715,1.0,2.0,3.0,6.25,21.0
Technology,1559.0,7.177677998717126,6.746833194014299,-34.0,3.0,5.0,10.0,38.0
Telecommunications,43.0,7.4186046511627906,6.272512059012245,0.0,3.0,5.0,9.5,24.0
Transportation,75.0,5.6,5.4077022147343925,0.0,2.0,3.0,7.0,21.0
Utilities,30.0,4.933333333333334,4.615814892999587,0.0,2.0,3.5,7.25,15.0
