Month,Technology,Auto,Consulting,Advertising & Marketing,Finance
Jul 2015,56,,17,12,13
Aug 2015,83,,27,17,21
Sep 2015,107,,38,33,35
Oct 2015,178,,55,59,52
Nov 2015,219,,64,74,54
Dec 2015,248,,71,88,64
Jan 2016,291,,78,102,68
Feb 2016,349,,80,112,82
Mar 2016,413,,88,116,88
Apr 2016,444,,100,128,97
May 2016,513,,117,140,110
Jun 2016,580,,125,153,120
Jul 2016,601,,135,157,131
Aug 2016,629,,140,168,139
Sep 2016,666,,155,180,149
Oct 2016,681,,165,185,144
Nov 2016,740,,191,196,156
Dec 2016,744,,209,208,165
Jan 2017,766,,212,207,166
Feb 2017,752,,221,215,174
Mar 2017,749,,225,232,183
Apr 2017,758,,230,225,191
May 2017,755,,238,231,212
Jun 2017,726,,241,232,222
Jul 2017,748,,247,223,232
Aug 2017,767,,264,215,241
Sep 2017,801,,276,206,252
Oct 2017,829,,273,212,256
Nov 2017,848,,277,221,256
Dec 2017,863,,278,221,247
Jan 2018,862,,277,216,239
Feb 2018,853,,267,215,239
Mar 2018,854,,276,215,246
Apr 2018,879,,282,224,253
May 2018,909,301,285,232,260
Jun 2018,1054,301,295,239,273
