Month,Technology,Advertising & Marketing,Finance,Consulting,"Arts, Entertainment & Media"
Jul 2015,1,,,3,1
Aug 2015,3,,1,1,2
Sep 2015,8,,4,3,4
Oct 2015,14,5,6,9,3
Nov 2015,21,5,3,7,
Dec 2015,14,7,6,9,2
Jan 2016,22,9,7,8,5
Feb 2016,23,15,10,8,4
Mar 2016,37,14,7,7,6
Apr 2016,27,15,12,4,10
May 2016,28,6,7,9,9
Jun 2016,35,20,7,9,5
Jul 2016,45,14,9,16,10
Aug 2016,36,13,9,7,12
Sep 2016,50,12,13,10,10
Oct 2016,27,14,7,8,11
Nov 2016,50,15,14,12,21
Dec 2016,27,16,15,13,8
Jan 2017,65,20,15,11,12
Feb 2017,50,8,9,12,12
Mar 2017,53,18,15,12,16
Apr 2017,54,10,6,13,17
May 2017,83,20,22,15,11
Jun 2017,48,19,13,17,15
Jul 2017,49,15,8,11,18
Aug 2017,41,28,23,18,12
Sep 2017,57,15,20,20,15
Oct 2017,62,11,24,23,13
Nov 2017,45,13,23,15,19
Dec 2017,54,20,23,14,14
Jan 2018,74,21,16,26,15
Feb 2018,53,12,6,17,11
Mar 2018,51,11,13,15,13
Apr 2018,51,11,16,17,11
May 2018,56,15,13,15,13
Jun 2018,73,16,19,14,12
